Nodes	Gen	Rcv	Delvd	Fwd	Delay	NoRtU	NoRtM	QFull	TxFail	Coll	LSUOrg	LSUSnt	Ups	Dns	Routes	LMFANumAssignmentChanges	Speed	BB	Density	Load	Group	Psize	SYSMGR_MACFrameHdrSizeBytes	SYSMGR_MACMacPhyDelayTicks	SYSMGR_MACNumXcvrs	SYSMGR_MACPhyCCADelayTicks	SYSMGR_MACPhyDataRateKbs	SYSMGR_MACPhyMacDelayTicks
15	9601	58276	6.070	29996	0.006	0	22687	0	665	117805	432	1435	8.267	0.133	15.0	 15	0.200	866	0.000	100	10	260	16	5	1	5	2000	5
15	9601	58723	6.116	36601	0.007	0	22684	0	59	4867	866	4108	13.200	8.400	11.5	 221	0.200	866	0.000	100	10	260	16	5	2	5	2000	5
15	9601	69611	7.250	59609	0.007	0	8690	0	105	27862	615	6654	8.200	4.667	15.0	 157	0.200	866	0.000	100	10	260	16	5	3	5	2000	5
15	9601	46983	4.894	34615	0.005	0	9070	0	170	40554	737	9236	10.200	5.467	11.5	 169	0.200	866	0.000	100	10	260	16	5	4	5	2000	5
15	9601	38197	3.978	22963	0.405	0	14752	1796	350	133356	446	1398	8.133	0.133	15.0	 15	0.200	866	0.000	100	10	260	16	400	1	100	2000	400
15	9601	69247	7.212	49473	0.075	0	15565	483	496	30567	862	4858	13.067	7.200	15.0	 185	0.200	866	0.000	100	10	260	16	400	2	100	2000	400
15	9601	64660	6.735	51135	0.058	0	19326	0	48	42851	706	6348	9.333	4.533	15.0	 160	0.200	866	0.000	100	10	260	16	400	3	100	2000	400
15	9601	50191	5.228	45271	0.024	0	14320	0	67	53107	543	7272	7.467	3.133	9.9	 139	0.200	866	0.000	100	10	260	16	400	4	100	2000	400
15	19661	98268	4.998	55657	0.006	0	37683	0	1663	270120	440	1379	8.267	0.667	15.0	 15	0.200	866	0.000	200	10	260	16	5	1	5	2000	5
15	19661	119268	6.066	72559	0.007	0	46251	0	164	9332	866	4116	13.200	8.400	11.5	 221	0.200	866	0.000	200	10	260	16	5	2	5	2000	5
15	19661	136465	6.941	117746	0.007	0	14802	0	514	51732	616	6594	8.200	4.867	13.9	 157	0.200	866	0.000	200	10	260	16	5	3	5	2000	5
15	19661	95785	4.872	68982	0.006	0	18938	0	628	66819	724	9088	9.600	4.933	11.5	 157	0.200	866	0.000	200	10	260	16	5	4	5	2000	5
15	19661	46805	2.381	29758	1.030	0	17744	9242	830	214578	432	1366	7.600	0.133	15.0	 15	0.200	866	0.000	200	10	260	16	400	1	100	2000	400
15	19661	127336	6.477	91210	0.166	0	27829	4519	382	67104	864	4770	12.867	7.000	15.0	 183	0.200	866	0.000	200	10	260	16	400	2	100	2000	400
15	19661	114237	5.810	90485	0.368	0	34514	6224	231	91213	699	6186	9.267	4.467	15.0	 160	0.200	866	0.000	200	10	260	16	400	3	100	2000	400
15	19661	96391	4.903	89071	0.120	0	24292	1172	230	105551	521	6764	7.200	3.067	11.5	 140	0.200	866	0.000	200	10	260	16	400	4	100	2000	400
15	9601	50375	5.247	26572	0.005	0	13375	0	654	91197	1506	4145	16.200	10.600	15.0	 23	2	866	0.000	100	10	260	16	5	1	5	2000	5
15	9601	38171	3.976	37570	0.006	0	3582	0	1738	4666	1890	9282	24.733	20.733	14.0	 453	2	866	0.000	100	10	260	16	5	2	5	2000	5
15	9601	39107	4.073	39150	0.005	0	5705	0	1500	19712	1841	14514	22.800	19.267	14.1	 404	2	866	0.000	100	10	260	16	5	3	5	2000	5
15	9601	45471	4.736	36711	0.005	0	7980	8	1145	38052	2298	21244	27.067	22.800	8.7	 569	2	866	0.000	100	10	260	16	5	4	5	2000	5
15	9601	37480	3.904	21885	0.329	0	9980	730	262	97406	1514	3883	16.133	10.533	15.0	 17	2	866	0.000	100	10	260	16	400	1	100	2000	400
15	9601	30678	3.195	32178	0.046	0	3214	170	1907	8568	1899	8816	24.200	21.533	8.6	 492	2	866	0.000	100	10	260	16	400	2	100	2000	400
15	9601	39125	4.075	35158	0.083	0	6615	437	1720	30021	1981	14601	25.000	21.733	9.1	 499	2	866	0.000	100	10	260	16	400	3	100	2000	400
15	9601	43573	4.538	44277	0.043	0	5202	27	821	49564	1990	21348	23.333	19.400	13.7	 470	2	866	0.000	100	10	260	16	400	4	100	2000	400
15	19661	86902	4.420	47750	0.005	0	21016	0	1310	180855	1429	3760	15.267	10.667	15.0	 23	2	866	0.000	200	10	260	16	5	1	5	2000	5
15	19661	67195	3.418	67187	0.006	0	8547	0	2547	9805	1855	9230	23.400	21.067	7.6	 478	2	866	0.000	200	10	260	16	5	2	5	2000	5
15	19661	81092	4.125	72605	0.007	0	10198	43	2153	31984	1972	14778	24.200	20.867	6.9	 443	2	866	0.000	200	10	260	16	5	3	5	2000	5
15	19661	93787	4.770	92893	0.007	0	13993	0	2832	60796	2177	21748	24.867	21.267	13.7	 551	2	866	0.000	200	10	260	16	5	4	5	2000	5
15	19661	50713	2.579	32329	0.724	0	11154	5752	885	179726	1431	3655	15.133	10.600	13.3	 17	2	866	0.000	200	10	260	16	400	1	100	2000	400
15	19661	63350	3.222	61201	0.070	0	3992	1076	3011	20972	1854	8552	23.533	21.067	7.5	 486	2	866	0.000	200	10	260	16	400	2	100	2000	400
15	19661	89560	4.555	90230	0.124	0	7573	2892	1962	57286	1805	15513	22.200	19.533	11.9	 422	2	866	0.000	200	10	260	16	400	3	100	2000	400
15	19661	85591	4.353	87014	0.121	0	8623	1533	1419	83816	1992	21332	22.467	20.067	8.2	 496	2	866	0.000	200	10	260	16	400	4	100	2000	400
